Date,Region,Product,Category,Segment,Units,Unit Price,Revenue
2025-05-17,West,Nimbus Chair,Home,Enterprise,3,199.1,597.3
2025-07-01,West,Aurora Lamp,Home,Consumer,11,52.7,579.7
2025-02-28,South,Summit Tent,Outdoor,Business,3,242,726
2025-06-04,West,Brew Kettle,Kitchen,Consumer,8,37.6,300.8
2025-03-21,South,Summit Tent,Outdoor,Enterprise,7,255.68,1789.76
2025-11-28,South,Ember Skillet,Kitchen,Consumer,2,56.79,113.58
2025-04-11,North,Brew Kettle,Kitchen,Business,9,41.83,376.47
2025-10-25,North,Vector Keyboard,Electronics,Enterprise,12,75.63,907.56
2025-11-14,South,Pulse Headphones,Electronics,Consumer,9,134.59,1211.31
2025-05-20,West,Brew Kettle,Kitchen,Consumer,6,39.57,237.42
2025-11-09,North,Ember Skillet,Kitchen,Enterprise,13,61.07,793.91
2025-02-11,South,Ember Skillet,Kitchen,Enterprise,7,61.13,427.91
2025-05-07,South,Aurora Lamp,Home,Business,6,53.86,323.16
2025-05-02,West,Brew Kettle,Kitchen,Consumer,13,41.77,543.01
2025-07-12,East,Nimbus Chair,Home,Consumer,10,181.08,1810.8
2025-06-09,West,Ember Skillet,Kitchen,Enterprise,9,58.19,523.71
2025-07-24,South,Nimbus Chair,Home,Business,1,187.67,187.67
2025-06-05,North,Vector Keyboard,Electronics,Consumer,3,72.61,217.83
2025-03-24,North,Nimbus Chair,Home,Enterprise,5,201.76,1008.8
2025-06-22,West,Vector Keyboard,Electronics,Enterprise,11,83.04,913.44
2025-07-19,East,Ember Skillet,Kitchen,Enterprise,9,62.81,565.29
2025-04-06,South,Nimbus Chair,Home,Enterprise,8,176.66,1413.28
2025-07-01,South,Nimbus Chair,Home,Enterprise,7,199.15,1394.05
2025-09-02,North,Aurora Lamp,Home,Enterprise,8,47.85,382.8
2025-12-25,East,Vector Keyboard,Electronics,Enterprise,2,84.72,169.44
2025-10-22,West,Trail Backpack,Outdoor,Business,12,92.65,1111.8
2025-08-22,West,Brew Kettle,Kitchen,Enterprise,12,41.63,499.56
2025-03-18,South,Ember Skillet,Kitchen,Business,8,54.19,433.52
2025-05-27,South,Summit Tent,Outdoor,Consumer,2,266.46,532.92
2025-05-28,East,Nimbus Chair,Home,Business,3,188.71,566.13
2025-10-04,South,Nimbus Chair,Home,Consumer,11,193.61,2129.71
2025-08-25,East,Ember Skillet,Kitchen,Consumer,2,61.1,122.2
2025-10-22,East,Trail Backpack,Outdoor,Business,9,94.33,848.97
2025-05-18,East,Pulse Headphones,Electronics,Business,4,135.27,541.08
2025-06-08,North,Pulse Headphones,Electronics,Consumer,5,118.66,593.3
2025-03-21,West,Pulse Headphones,Electronics,Enterprise,1,136.16,136.16
2025-07-08,South,Brew Kettle,Kitchen,Consumer,5,42.16,210.8
2025-05-15,East,Trail Backpack,Outdoor,Enterprise,6,83.38,500.28
2025-02-28,North,Summit Tent,Outdoor,Business,7,257.68,1803.76
2025-01-11,North,Trail Backpack,Outdoor,Business,7,88.24,617.68
2025-04-15,North,Summit Tent,Outdoor,Enterprise,3,265.39,796.17
2025-03-23,West,Vector Keyboard,Electronics,Consumer,9,86.21,775.89
2025-01-01,East,Aurora Lamp,Home,Consumer,5,44.38,221.9
2025-01-16,South,Aurora Lamp,Home,Business,7,51.29,359.03
2025-06-24,West,Pulse Headphones,Electronics,Consumer,10,128.79,1287.9
2025-02-28,North,Nimbus Chair,Home,Consumer,5,187.26,936.3
2025-03-24,South,Trail Backpack,Outdoor,Enterprise,8,97.4,779.2
2025-02-20,South,Pulse Headphones,Electronics,Consumer,5,128.65,643.25
2025-11-22,South,Trail Backpack,Outdoor,Business,12,88.31,1059.72
2025-02-12,North,Ember Skillet,Kitchen,Enterprise,3,64.34,193.02
2025-06-25,North,Vector Keyboard,Electronics,Enterprise,3,76.78,230.34
2025-02-22,South,Trail Backpack,Outdoor,Enterprise,2,93.48,186.96
2025-11-05,North,Aurora Lamp,Home,Business,9,49.69,447.21
2025-10-10,West,Aurora Lamp,Home,Consumer,3,49.11,147.33
2025-05-18,North,Pulse Headphones,Electronics,Consumer,4,126.23,504.92
2025-10-10,West,Trail Backpack,Outdoor,Enterprise,8,82.13,657.04
2025-10-06,South,Vector Keyboard,Electronics,Consumer,2,78.91,157.82
2025-12-02,North,Aurora Lamp,Home,Enterprise,12,51.25,615
2025-05-20,West,Nimbus Chair,Home,Enterprise,11,176.06,1936.66
2025-11-02,East,Brew Kettle,Kitchen,Enterprise,5,41.32,206.6
2025-10-12,West,Ember Skillet,Kitchen,Business,11,59.85,658.35
2025-05-19,East,Brew Kettle,Kitchen,Consumer,2,41.72,83.44
2025-04-05,North,Trail Backpack,Outdoor,Enterprise,7,89.08,623.56
2025-03-01,South,Brew Kettle,Kitchen,Consumer,8,36.03,288.24
2025-03-19,South,Aurora Lamp,Home,Business,8,44.36,354.88
2025-09-03,South,Ember Skillet,Kitchen,Enterprise,5,63.93,319.65
2025-06-01,South,Brew Kettle,Kitchen,Enterprise,8,39.82,318.56
2025-12-28,North,Brew Kettle,Kitchen,Consumer,14,42.65,597.1
2025-05-08,North,Brew Kettle,Kitchen,Business,9,35.67,321.03
2025-06-05,South,Ember Skillet,Kitchen,Enterprise,7,63.43,444.01
2025-07-17,North,Ember Skillet,Kitchen,Enterprise,8,59.6,476.8
2025-12-24,East,Ember Skillet,Kitchen,Enterprise,2,62.61,125.22
2025-07-03,South,Ember Skillet,Kitchen,Business,6,58.12,348.72
2025-03-08,West,Summit Tent,Outdoor,Consumer,10,234.4,2344
2025-01-09,North,Vector Keyboard,Electronics,Business,2,71.33,142.66
2025-04-16,West,Aurora Lamp,Home,Consumer,3,45.29,135.87
2025-07-08,South,Nimbus Chair,Home,Consumer,8,188.49,1507.92
2025-05-04,North,Nimbus Chair,Home,Consumer,2,187.46,374.92
2025-02-27,North,Trail Backpack,Outdoor,Consumer,3,84.55,253.65
2025-04-10,North,Summit Tent,Outdoor,Business,3,239.94,719.82
2025-11-16,North,Pulse Headphones,Electronics,Consumer,10,118.32,1183.2
2025-11-28,South,Summit Tent,Outdoor,Consumer,10,267.06,2670.6
2025-02-15,North,Pulse Headphones,Electronics,Enterprise,2,116.88,233.76
2025-10-26,West,Vector Keyboard,Electronics,Consumer,6,74.29,445.74
2025-03-03,West,Pulse Headphones,Electronics,Consumer,10,125.44,1254.4
2025-12-04,West,Trail Backpack,Outdoor,Enterprise,7,86.37,604.59
2025-10-06,West,Brew Kettle,Kitchen,Consumer,8,40.92,327.36
2025-07-02,West,Brew Kettle,Kitchen,Consumer,3,39.52,118.56
2025-01-02,South,Aurora Lamp,Home,Consumer,4,51.85,207.4
2025-06-17,South,Trail Backpack,Outdoor,Consumer,4,88.73,354.92
2025-07-08,North,Trail Backpack,Outdoor,Enterprise,7,85.08,595.56
2025-07-17,North,Aurora Lamp,Home,Enterprise,3,46.93,140.79
2025-07-02,West,Nimbus Chair,Home,Business,8,206.88,1655.04
2025-09-21,West,Aurora Lamp,Home,Consumer,2,50.46,100.92
2025-02-11,North,Ember Skillet,Kitchen,Consumer,6,60.66,363.96
2025-08-20,East,Summit Tent,Outdoor,Consumer,5,229.67,1148.35
2025-07-02,South,Nimbus Chair,Home,Consumer,5,174.58,872.9
2025-11-26,South,Ember Skillet,Kitchen,Business,6,62.58,375.48
2025-12-18,West,Nimbus Chair,Home,Business,9,172.85,1555.65
2025-10-05,East,Summit Tent,Outdoor,Business,6,263.12,1578.72
2025-02-22,South,Nimbus Chair,Home,Consumer,3,198.71,596.13
2025-06-12,East,Brew Kettle,Kitchen,Consumer,9,39.71,357.39
2025-06-07,West,Nimbus Chair,Home,Business,11,175.62,1931.82
2025-06-18,East,Aurora Lamp,Home,Consumer,4,51.15,204.6
2025-02-23,West,Trail Backpack,Outdoor,Enterprise,5,92.41,462.05
2025-06-02,South,Ember Skillet,Kitchen,Consumer,7,62.41,436.87
2025-07-02,South,Summit Tent,Outdoor,Consumer,2,263.42,526.84
2025-01-14,East,Nimbus Chair,Home,Enterprise,2,179.23,358.46
2025-07-16,North,Ember Skillet,Kitchen,Business,7,56.38,394.66
2025-10-08,South,Trail Backpack,Outdoor,Enterprise,5,96.8,484
2025-03-06,East,Aurora Lamp,Home,Business,4,47.87,191.48
2025-09-20,North,Brew Kettle,Kitchen,Enterprise,10,36.41,364.1
2025-05-22,West,Summit Tent,Outdoor,Enterprise,9,234.62,2111.58
2025-01-13,South,Aurora Lamp,Home,Consumer,4,47.44,189.76
2025-01-19,South,Vector Keyboard,Electronics,Enterprise,2,73.59,147.18
2025-06-20,South,Vector Keyboard,Electronics,Enterprise,7,86.2,603.4
2025-11-05,East,Aurora Lamp,Home,Consumer,13,52.77,686.01
2025-09-04,South,Nimbus Chair,Home,Business,2,205.74,411.48
2025-08-25,West,Summit Tent,Outdoor,Enterprise,2,264.81,529.62
2025-05-06,East,Ember Skillet,Kitchen,Consumer,1,57.96,57.96
2025-06-15,South,Summit Tent,Outdoor,Business,7,232.32,1626.24
2025-01-23,West,Brew Kettle,Kitchen,Consumer,7,37.44,262.08
2025-01-04,South,Pulse Headphones,Electronics,Business,2,123.7,247.4
2025-06-28,West,Pulse Headphones,Electronics,Enterprise,8,120.58,964.64
2025-07-05,East,Brew Kettle,Kitchen,Consumer,9,37.18,334.62
2025-03-02,East,Aurora Lamp,Home,Enterprise,4,46.54,186.16
2025-02-11,North,Aurora Lamp,Home,Business,6,52.17,313.02
2025-10-19,North,Aurora Lamp,Home,Consumer,7,53.19,372.33
2025-08-12,South,Pulse Headphones,Electronics,Consumer,5,117.17,585.85
2025-08-19,North,Ember Skillet,Kitchen,Enterprise,9,62.83,565.47
2025-10-06,North,Trail Backpack,Outdoor,Consumer,10,91.44,914.4
2025-05-25,South,Brew Kettle,Kitchen,Enterprise,3,35.89,107.67
2025-09-09,South,Aurora Lamp,Home,Consumer,3,52.44,157.32
2025-12-10,North,Vector Keyboard,Electronics,Consumer,7,78.08,546.56
2025-08-07,South,Summit Tent,Outdoor,Enterprise,3,255.07,765.21
2025-04-21,North,Nimbus Chair,Home,Consumer,7,177.41,1241.87
2025-02-05,North,Aurora Lamp,Home,Enterprise,6,48.74,292.44
2025-10-25,North,Nimbus Chair,Home,Consumer,15,199.83,2997.45
2025-03-18,South,Vector Keyboard,Electronics,Enterprise,3,73.66,220.98
2025-02-12,East,Pulse Headphones,Electronics,Consumer,3,124.39,373.17
2025-12-25,South,Brew Kettle,Kitchen,Enterprise,8,36.88,295.04
2025-09-22,East,Ember Skillet,Kitchen,Business,8,63.06,504.48
2025-08-20,North,Aurora Lamp,Home,Enterprise,3,49.19,147.57
2025-11-11,North,Pulse Headphones,Electronics,Consumer,2,127.68,255.36
2025-05-09,North,Trail Backpack,Outdoor,Enterprise,9,89.7,807.3
2025-10-19,North,Pulse Headphones,Electronics,Business,8,129.46,1035.68
2025-01-08,South,Vector Keyboard,Electronics,Business,1,79.99,79.99
2025-11-15,West,Vector Keyboard,Electronics,Enterprise,7,77.62,543.34
2025-05-21,North,Pulse Headphones,Electronics,Business,10,128.72,1287.2
2025-09-09,South,Summit Tent,Outdoor,Enterprise,3,251.68,755.04
2025-08-02,West,Aurora Lamp,Home,Consumer,13,52.48,682.24
2025-03-17,East,Brew Kettle,Kitchen,Consumer,10,35.67,356.7
2025-01-22,North,Nimbus Chair,Home,Business,1,196.13,196.13
2025-10-20,South,Ember Skillet,Kitchen,Enterprise,2,56.65,113.3
2025-10-22,South,Nimbus Chair,Home,Business,9,198.12,1783.08
2025-06-05,West,Vector Keyboard,Electronics,Business,8,84.16,673.28
2025-01-09,South,Brew Kettle,Kitchen,Enterprise,5,41.71,208.55
2025-04-12,North,Brew Kettle,Kitchen,Consumer,8,39.88,319.04
2025-10-28,South,Brew Kettle,Kitchen,Business,3,40.58,121.74
2025-04-07,West,Aurora Lamp,Home,Business,6,45.1,270.6
2025-05-10,South,Summit Tent,Outdoor,Enterprise,3,263.15,789.45
2025-04-06,East,Nimbus Chair,Home,Enterprise,4,191.97,767.88
2025-08-28,North,Pulse Headphones,Electronics,Enterprise,5,118.4,592
2025-08-02,West,Vector Keyboard,Electronics,Enterprise,11,83.95,923.45
2025-11-05,North,Summit Tent,Outdoor,Business,5,262.55,1312.75
2025-02-01,East,Vector Keyboard,Electronics,Business,3,79.59,238.77
2025-12-11,East,Brew Kettle,Kitchen,Business,8,39.9,319.2
2025-04-20,East,Aurora Lamp,Home,Enterprise,4,52.53,210.12
2025-06-13,South,Nimbus Chair,Home,Consumer,8,181.51,1452.08
2025-03-20,North,Brew Kettle,Kitchen,Consumer,4,38.41,153.64
2025-11-20,South,Brew Kettle,Kitchen,Business,8,37.28,298.24
2025-07-24,South,Ember Skillet,Kitchen,Enterprise,3,54.54,163.62
2025-04-03,West,Trail Backpack,Outdoor,Consumer,8,85.66,685.28
2025-08-18,East,Brew Kettle,Kitchen,Enterprise,2,37.86,75.72
2025-08-16,North,Nimbus Chair,Home,Consumer,9,188.28,1694.52
2025-01-11,North,Vector Keyboard,Electronics,Consumer,5,71.48,357.4
2025-07-27,South,Summit Tent,Outdoor,Consumer,4,258.1,1032.4
2025-11-20,North,Nimbus Chair,Home,Enterprise,4,182.72,730.88
2025-06-19,North,Brew Kettle,Kitchen,Consumer,8,35.59,284.72
2025-05-05,West,Brew Kettle,Kitchen,Enterprise,4,37.32,149.28
2025-07-26,East,Ember Skillet,Kitchen,Enterprise,4,63.86,255.44
2025-07-19,South,Pulse Headphones,Electronics,Consumer,8,127.65,1021.2
2025-01-13,East,Nimbus Chair,Home,Business,6,181.69,1090.14
2025-11-21,West,Nimbus Chair,Home,Consumer,15,189.96,2849.4
2025-03-03,North,Aurora Lamp,Home,Business,3,51.29,153.87
2025-01-25,North,Aurora Lamp,Home,Business,5,49.21,246.05
2025-08-27,North,Pulse Headphones,Electronics,Business,8,130.85,1046.8
2025-05-21,South,Pulse Headphones,Electronics,Consumer,7,123.93,867.51
2025-03-27,East,Vector Keyboard,Electronics,Business,5,78.01,390.05
2025-05-04,East,Nimbus Chair,Home,Consumer,3,184.49,553.47
2025-01-05,West,Vector Keyboard,Electronics,Enterprise,10,82.88,828.8
2025-05-25,East,Summit Tent,Outdoor,Business,9,267.29,2405.61
2025-07-06,North,Vector Keyboard,Electronics,Consumer,7,76.61,536.27
2025-02-27,North,Brew Kettle,Kitchen,Business,4,35.74,142.96
2025-10-18,North,Pulse Headphones,Electronics,Business,9,136.72,1230.48
2025-03-16,East,Nimbus Chair,Home,Consumer,6,176.9,1061.4
2025-06-19,North,Trail Backpack,Outdoor,Consumer,5,97.59,487.95
2025-02-04,East,Pulse Headphones,Electronics,Enterprise,2,141.28,282.56
2025-02-24,South,Ember Skillet,Kitchen,Enterprise,4,53.74,214.96
2025-04-24,East,Pulse Headphones,Electronics,Consumer,3,127.29,381.87
2025-12-16,South,Aurora Lamp,Home,Consumer,1,47.56,47.56
2025-02-15,West,Brew Kettle,Kitchen,Consumer,6,37,222
2025-05-14,East,Brew Kettle,Kitchen,Consumer,9,39.63,356.67
2025-03-01,North,Ember Skillet,Kitchen,Enterprise,2,63.8,127.6
2025-09-10,West,Pulse Headphones,Electronics,Enterprise,4,136.14,544.56
2025-11-13,North,Pulse Headphones,Electronics,Business,12,128.46,1541.52
2025-03-09,South,Summit Tent,Outdoor,Business,3,230.14,690.42
2025-11-08,North,Pulse Headphones,Electronics,Enterprise,11,136.62,1502.82
2025-03-17,East,Pulse Headphones,Electronics,Consumer,5,127.17,635.85
2025-02-14,North,Summit Tent,Outdoor,Enterprise,1,261.6,261.6
2025-08-01,East,Aurora Lamp,Home,Consumer,6,44.88,269.28
2025-07-10,North,Ember Skillet,Kitchen,Enterprise,3,61.12,183.36
2025-12-03,East,Brew Kettle,Kitchen,Consumer,8,40.26,322.08
2025-01-27,North,Aurora Lamp,Home,Enterprise,3,48.68,146.04
2025-02-16,East,Pulse Headphones,Electronics,Consumer,3,122.83,368.49
2025-11-02,East,Vector Keyboard,Electronics,Enterprise,4,79.53,318.12
2025-02-26,West,Ember Skillet,Kitchen,Enterprise,4,58.41,233.64
2025-03-20,East,Vector Keyboard,Electronics,Enterprise,5,71.54,357.7
2025-10-01,West,Vector Keyboard,Electronics,Enterprise,17,72.47,1231.99
2025-11-10,South,Ember Skillet,Kitchen,Business,7,54.61,382.27
2025-05-14,South,Vector Keyboard,Electronics,Business,8,77.19,617.52
2025-07-22,West,Ember Skillet,Kitchen,Consumer,7,55.93,391.51
2025-02-02,South,Trail Backpack,Outdoor,Enterprise,2,85.02,170.04
2025-12-11,North,Pulse Headphones,Electronics,Consumer,9,122.61,1103.49
2025-05-16,South,Aurora Lamp,Home,Enterprise,5,48.95,244.75
2025-04-10,North,Ember Skillet,Kitchen,Business,4,63.71,254.84
2025-05-11,East,Summit Tent,Outdoor,Enterprise,5,254.21,1271.05
2025-02-12,West,Trail Backpack,Outdoor,Business,6,81,486
2025-07-20,West,Ember Skillet,Kitchen,Enterprise,10,55.72,557.2
2025-02-07,West,Nimbus Chair,Home,Enterprise,8,181.2,1449.6
2025-02-26,East,Ember Skillet,Kitchen,Enterprise,8,63.92,511.36
2025-02-20,West,Vector Keyboard,Electronics,Consumer,2,78.12,156.24
2025-08-21,South,Pulse Headphones,Electronics,Enterprise,8,133.29,1066.32
2025-10-03,North,Summit Tent,Outdoor,Enterprise,11,260.26,2862.86
2025-09-04,East,Brew Kettle,Kitchen,Enterprise,9,39.62,356.58
2025-01-24,West,Ember Skillet,Kitchen,Enterprise,9,59.59,536.31
2025-04-06,South,Brew Kettle,Kitchen,Consumer,2,42.52,85.04
2025-04-24,East,Aurora Lamp,Home,Business,7,44.42,310.94
2025-11-01,South,Aurora Lamp,Home,Enterprise,12,49.25,591
2025-01-04,South,Ember Skillet,Kitchen,Consumer,1,58.05,58.05
2025-08-08,South,Nimbus Chair,Home,Enterprise,5,191.56,957.8
2025-06-26,South,Nimbus Chair,Home,Business,5,193.96,969.8
2025-02-15,North,Nimbus Chair,Home,Consumer,4,178.21,712.84
2025-02-03,East,Summit Tent,Outdoor,Enterprise,5,230.81,1154.05
2025-08-06,South,Pulse Headphones,Electronics,Enterprise,3,119.57,358.71
2025-12-06,South,Ember Skillet,Kitchen,Consumer,7,54.65,382.55
2025-11-17,East,Ember Skillet,Kitchen,Consumer,2,57.55,115.1
2025-01-23,South,Vector Keyboard,Electronics,Business,5,83.69,418.45
2025-11-14,East,Nimbus Chair,Home,Enterprise,14,201.34,2818.76
2025-09-21,North,Aurora Lamp,Home,Consumer,4,45.87,183.48
2025-06-16,North,Brew Kettle,Kitchen,Enterprise,8,40.88,327.04
2025-10-21,South,Brew Kettle,Kitchen,Enterprise,7,42.15,295.05
2025-12-23,East,Vector Keyboard,Electronics,Consumer,3,75.37,226.11
2025-09-02,North,Vector Keyboard,Electronics,Enterprise,9,81.11,729.99
2025-04-11,South,Nimbus Chair,Home,Consumer,3,202.8,608.4
2025-11-07,East,Summit Tent,Outdoor,Enterprise,5,264.41,1322.05
2025-11-08,South,Aurora Lamp,Home,Business,7,49.96,349.72
2025-04-13,East,Vector Keyboard,Electronics,Consumer,1,74.9,74.9
2025-06-11,North,Nimbus Chair,Home,Business,4,187.01,748.04
2025-10-06,North,Ember Skillet,Kitchen,Enterprise,4,64.09,256.36
2025-06-21,West,Nimbus Chair,Home,Business,9,202.91,1826.19
2025-11-27,East,Ember Skillet,Kitchen,Consumer,12,54.85,658.2
2025-12-28,East,Brew Kettle,Kitchen,Business,3,37.91,113.73
2025-08-13,North,Aurora Lamp,Home,Enterprise,8,49.52,396.16
2025-10-18,West,Ember Skillet,Kitchen,Consumer,5,62.93,314.65
2025-10-12,West,Nimbus Chair,Home,Consumer,19,197.39,3750.41
2025-05-01,South,Ember Skillet,Kitchen,Enterprise,8,54.1,432.8
2025-05-09,East,Summit Tent,Outdoor,Enterprise,9,247.69,2229.21
2025-06-13,North,Nimbus Chair,Home,Business,4,180.15,720.6
2025-03-14,West,Trail Backpack,Outdoor,Consumer,1,81.61,81.61
2025-07-26,East,Ember Skillet,Kitchen,Business,4,53.32,213.28
2025-03-18,South,Trail Backpack,Outdoor,Consumer,2,80.42,160.84
2025-11-07,East,Summit Tent,Outdoor,Consumer,13,243.55,3166.15
2025-08-12,South,Summit Tent,Outdoor,Consumer,4,252.35,1009.4
2025-01-23,East,Trail Backpack,Outdoor,Business,7,85.21,596.47
2025-11-28,North,Trail Backpack,Outdoor,Consumer,6,87.22,523.32
2025-12-19,South,Vector Keyboard,Electronics,Enterprise,10,80.82,808.2
2025-03-22,West,Vector Keyboard,Electronics,Business,7,79.55,556.85
2025-07-19,North,Pulse Headphones,Electronics,Enterprise,4,119,476
2025-06-11,South,Aurora Lamp,Home,Consumer,3,46.9,140.7
2025-09-01,West,Nimbus Chair,Home,Business,7,190.26,1331.82
2025-07-01,South,Brew Kettle,Kitchen,Business,2,41.81,83.62
2025-06-15,North,Trail Backpack,Outdoor,Enterprise,2,92.07,184.14
2025-09-24,West,Nimbus Chair,Home,Consumer,13,188.71,2453.23
2025-01-27,West,Pulse Headphones,Electronics,Consumer,5,131.5,657.5
2025-06-13,East,Aurora Lamp,Home,Enterprise,2,47.43,94.86
2025-09-15,West,Brew Kettle,Kitchen,Business,2,40.79,81.58
2025-10-04,South,Ember Skillet,Kitchen,Enterprise,6,53.79,322.74
2025-03-07,South,Brew Kettle,Kitchen,Business,2,42.16,84.32
2025-12-09,South,Nimbus Chair,Home,Enterprise,3,183.93,551.79
2025-12-05,West,Summit Tent,Outdoor,Business,16,263.56,4216.96
2025-04-07,West,Ember Skillet,Kitchen,Consumer,10,63.98,639.8
2025-07-06,East,Pulse Headphones,Electronics,Business,3,126.82,380.46
2025-06-15,West,Summit Tent,Outdoor,Enterprise,6,250.39,1502.34
2025-04-28,North,Summit Tent,Outdoor,Business,3,255.47,766.41
2025-12-25,North,Pulse Headphones,Electronics,Consumer,4,133.14,532.56
2025-04-03,South,Vector Keyboard,Electronics,Consumer,1,83.59,83.59
2025-05-02,East,Summit Tent,Outdoor,Enterprise,2,234.36,468.72
2025-04-12,North,Summit Tent,Outdoor,Enterprise,3,265.15,795.45
2025-07-21,West,Aurora Lamp,Home,Enterprise,10,52.25,522.5
2025-04-28,East,Vector Keyboard,Electronics,Business,8,76,608
2025-08-06,South,Trail Backpack,Outdoor,Enterprise,3,93.54,280.62
2025-01-16,West,Brew Kettle,Kitchen,Consumer,5,38.66,193.3
2025-02-11,South,Nimbus Chair,Home,Consumer,5,207.41,1037.05
2025-07-17,North,Aurora Lamp,Home,Business,1,52.53,52.53
2025-06-12,North,Brew Kettle,Kitchen,Enterprise,5,38.67,193.35
2025-10-15,East,Pulse Headphones,Electronics,Business,2,139.91,279.82
2025-07-28,West,Vector Keyboard,Electronics,Business,13,77.3,1004.9
2025-04-10,East,Aurora Lamp,Home,Business,8,50.26,402.08
2025-04-04,North,Aurora Lamp,Home,Consumer,2,49.36,98.72
2025-01-03,South,Vector Keyboard,Electronics,Enterprise,2,72.29,144.58
2025-05-11,North,Aurora Lamp,Home,Business,6,47.84,287.04
2025-11-16,South,Nimbus Chair,Home,Consumer,3,202.53,607.59
2025-06-24,East,Trail Backpack,Outdoor,Enterprise,6,91.6,549.6
2025-01-22,South,Vector Keyboard,Electronics,Enterprise,7,73.83,516.81
2025-08-11,East,Summit Tent,Outdoor,Enterprise,8,256.9,2055.2
2025-06-20,South,Trail Backpack,Outdoor,Consumer,6,81.02,486.12
2025-06-27,South,Summit Tent,Outdoor,Business,4,256.35,1025.4
2025-03-07,North,Summit Tent,Outdoor,Business,2,268.85,537.7
2025-06-06,North,Pulse Headphones,Electronics,Business,4,128.82,515.28
2025-08-06,North,Vector Keyboard,Electronics,Business,7,73.63,515.41
2025-05-11,East,Brew Kettle,Kitchen,Business,9,36.69,330.21
2025-02-01,South,Vector Keyboard,Electronics,Business,7,78.06,546.42
2025-03-23,East,Nimbus Chair,Home,Business,7,193.21,1352.47
